epoch,accuracy,loss,val_accuracy,val_loss
0,0.3671766221523285,2.2234456539154053,0.6888889074325562,1.275281548500061
1,0.7969402074813843,0.8199699521064758,0.800000011920929,0.7731627821922302
2,0.9012517333030701,0.49771907925605774,0.8222222328186035,0.6613301634788513
3,0.9443671703338623,0.34675365686416626,0.8277778029441833,0.5970316529273987
4,0.9694019556045532,0.2605138123035431,0.8277778029441833,0.5828127264976501
5,0.9819193482398987,0.2183842808008194,0.8277778029441833,0.5506898760795593
6,0.9888734221458435,0.19825400412082672,0.8333333134651184,0.5446217060089111
7,0.9944367408752441,0.17183171212673187,0.855555534362793,0.5164223909378052
8,0.9944367408752441,0.15844528377056122,0.8444444537162781,0.4875873923301697
9,0.9944367408752441,0.15724016726016998,0.8666666746139526,0.5068318843841553
10,1.0,0.13557308912277222,0.855555534362793,0.4886128008365631
11,0.998609185218811,0.13408593833446503,0.8388888835906982,0.4854424297809601
12,0.9958275556564331,0.1376645714044571,0.8277778029441833,0.5030654072761536
13,0.9972183704376221,0.1275150030851364,0.8444444537162781,0.4780438244342804
14,0.998609185218811,0.12775593996047974,0.8722222447395325,0.4691406190395355
15,1.0,0.12178139388561249,0.8500000238418579,0.46850839257240295
16,0.998609185218811,0.11832024902105331,0.8666666746139526,0.4688945710659027
17,1.0,0.11244126409292221,0.855555534362793,0.4651585817337036
18,1.0,0.11113513261079788,0.8500000238418579,0.4603157341480255
19,0.998609185218811,0.1102021336555481,0.8444444537162781,0.4847292900085449
20,1.0,0.10797537118196487,0.855555534362793,0.45134565234184265
21,1.0,0.10881310701370239,0.8388888835906982,0.4595199525356293
22,1.0,0.10573500394821167,0.8500000238418579,0.4631509482860565
23,1.0,0.103424571454525,0.8444444537162781,0.49852895736694336
24,0.998609185218811,0.1037394255399704,0.8500000238418579,0.49829596281051636
25,0.998609185218811,0.10432079434394836,0.8500000238418579,0.4661402106285095
26,1.0,0.09890727698802948,0.8444444537162781,0.4650764465332031
27,1.0,0.09765580296516418,0.855555534362793,0.4581885039806366
28,1.0,0.09529753774404526,0.855555534362793,0.432749480009079
29,1.0,0.09473823755979538,0.8388888835906982,0.45341232419013977
30,1.0,0.09293831139802933,0.8500000238418579,0.45244306325912476
31,1.0,0.0929032415151596,0.8666666746139526,0.43138936161994934
32,1.0,0.09110425412654877,0.8444444537162781,0.4699275493621826
33,1.0,0.09076147526502609,0.8500000238418579,0.48259320855140686
34,1.0,0.08932190388441086,0.8500000238418579,0.46910083293914795
35,1.0,0.08771686255931854,0.8777777552604675,0.45804283022880554
36,1.0,0.08600370585918427,0.8611111044883728,0.4467005133628845
37,1.0,0.08405636996030807,0.8722222447395325,0.44942232966423035
38,1.0,0.0828976184129715,0.8444444537162781,0.4513073265552521
39,1.0,0.0823727697134018,0.855555534362793,0.42811936140060425
40,1.0,0.08160729706287384,0.8388888835906982,0.48416680097579956
41,0.998609185218811,0.08219556510448456,0.855555534362793,0.4171339273452759
42,1.0,0.07893402129411697,0.8277778029441833,0.4587952494621277
43,1.0,0.07706538587808609,0.8500000238418579,0.434922993183136
44,1.0,0.07570021599531174,0.8333333134651184,0.43784192204475403
45,1.0,0.07571673393249512,0.8500000238418579,0.4307856261730194
46,1.0,0.07407557219266891,0.8888888955116272,0.41248050332069397
47,1.0,0.07393825799226761,0.8444444537162781,0.4569604694843292
48,1.0,0.07191435247659683,0.8888888955116272,0.40506884455680847
49,1.0,0.07128151506185532,0.855555534362793,0.4161267876625061
